;clip;id;movie;srt_name;video_name;graph_number;label;reason;fold
0;tt0108160scene-001.ss-0001.es-0001;tt0108160-001;tt0108160;scene-001.ss-0001.es-0001.srt;tt0108160_scene_1.avi;0;EN_HN;[];4
1;tt0108160scene-002.ss-0002.es-0002;tt0108160-002;tt0108160;scene-002.ss-0002.es-0002.srt;;-1;EN_HN;[];8
3;tt0108160scene-004.ss-0007.es-0017;tt0108160-004;tt0108160;scene-004.ss-0007.es-0017.srt;tt0108160_scene_4.avi;3;EN_HN;[];0
4;tt0108160scene-005.ss-0018.es-0018;tt0108160-005;tt0108160;scene-005.ss-0018.es-0018.srt;tt0108160_scene_5.avi;4;EN_HN;[];1
9;tt0108160scene-011.ss-0053.es-0056;tt0108160-011;tt0108160;scene-011.ss-0053.es-0056.srt;tt0108160_scene_11.avi;10;S;['Appearance', 'Activities'];5
10;tt0108160scene-013.ss-0058.es-0061;tt0108160-013;tt0108160;scene-013.ss-0058.es-0061.srt;;-1;EN_HN;[];4
11;tt0108160scene-020.ss-0113.es-0116;tt0108160-020;tt0108160;scene-020.ss-0113.es-0116.srt;tt0108160_scene_20.avi;19;EN_HN;[];4
12;tt0108160scene-021.ss-0117.es-0123;tt0108160-021;tt0108160;scene-021.ss-0117.es-0123.srt;tt0108160_scene_21.avi;20;EN_HN;['Exp of  emotion'];7
13;tt0108160scene-022.ss-0124.es-0125;tt0108160-022;tt0108160;scene-022.ss-0124.es-0125.srt;;-1;EN_HN;[];0
14;tt0108160scene-023.ss-0126.es-0132;tt0108160-023;tt0108160;scene-023.ss-0126.es-0132.srt;tt0108160_scene_23.avi;22;S;['Type of plan', 'Clothes', 'Look', 'Exp of  emotion'];3
16;tt0108160scene-027.ss-0151.es-0154;tt0108160-027;tt0108160;scene-027.ss-0151.es-0154.srt;tt0108160_scene_27.avi;26;EN_HN;['Clothes'];7
17;tt0108160scene-028.ss-0155.es-0160;tt0108160-028;tt0108160;scene-028.ss-0155.es-0160.srt;tt0108160_scene_28.avi;27;EN_HN;[];2
18;tt0108160scene-029.ss-0161.es-0165;tt0108160-029;tt0108160;scene-029.ss-0161.es-0165.srt;;-1;EN_HN;[];3
21;tt0108160scene-039.ss-0200.es-0201;tt0108160-039;tt0108160;scene-039.ss-0200.es-0201.srt;;-1;EN_HN;['Exp of  emotion'];6
22;tt0108160scene-040.ss-0202.es-0206;tt0108160-040;tt0108160;scene-040.ss-0202.es-0206.srt;tt0108160_scene_40.avi;39;EN_HN;['Exp of  emotion'];0
23;tt0108160scene-041.ss-0207.es-0213;tt0108160-041;tt0108160;scene-041.ss-0207.es-0213.srt;tt0108160_scene_41.avi;40;EN_HN;['Exp of  emotion'];8
24;tt0108160scene-042.ss-0214.es-0214;tt0108160-042;tt0108160;scene-042.ss-0214.es-0214.srt;tt0108160_scene_42.avi;41;S;['Activities'];6
25;tt0108160scene-046.ss-0236.es-0249;tt0108160-046;tt0108160;scene-046.ss-0236.es-0249.srt;tt0108160_scene_46.avi;45;EN_HN;[];8
26;tt0108160scene-048.ss-0262.es-0268;tt0108160-048;tt0108160;scene-048.ss-0262.es-0268.srt;tt0108160_scene_48.avi;47;S;['Exp of  emotion'];5
27;tt0108160scene-049.ss-0269.es-0274;tt0108160-049;tt0108160;scene-049.ss-0269.es-0274.srt;tt0108160_scene_49.avi;48;S;['Exp of  emotion'];4
28;tt0108160scene-050.ss-0275.es-0279;tt0108160-050;tt0108160;scene-050.ss-0275.es-0279.srt;tt0108160_scene_50.avi;49;EN_HN;[];4
30;tt0108160scene-052.ss-0295.es-0304;tt0108160-052;tt0108160;scene-052.ss-0295.es-0304.srt;;-1;EN_HN;['Type of plan', 'Look'];3
31;tt0108160scene-053.ss-0305.es-0306;tt0108160-053;tt0108160;scene-053.ss-0305.es-0306.srt;tt0108160_scene_53.avi;52;EN_HN;[];5
32;tt0108160scene-054.ss-0307.es-0331;tt0108160-054;tt0108160;scene-054.ss-0307.es-0331.srt;tt0108160_scene_54.avi;53;EN_HN;[];6
33;tt0108160scene-055.ss-0332.es-0332;tt0108160-055;tt0108160;scene-055.ss-0332.es-0332.srt;tt0108160_scene_55.avi;54;EN_HN;[];0
34;tt0108160scene-056.ss-0333.es-0333;tt0108160-056;tt0108160;scene-056.ss-0333.es-0333.srt;tt0108160_scene_56.avi;-1;EN_HN;[];9
35;tt0108160scene-057.ss-0334.es-0343;tt0108160-057;tt0108160;scene-057.ss-0334.es-0343.srt;tt0108160_scene_57.avi;56;EN_HN;[];0
37;tt0108160scene-059.ss-0353.es-0356;tt0108160-059;tt0108160;scene-059.ss-0353.es-0356.srt;tt0108160_scene_59.avi;58;S;['Appearance', 'Activities', 'Look'];9
40;tt0108160scene-064.ss-0382.es-0385;tt0108160-064;tt0108160;scene-064.ss-0382.es-0385.srt;tt0108160_scene_64.avi;63;S;['Activities'];2
41;tt0108160scene-065.ss-0386.es-0388;tt0108160-065;tt0108160;scene-065.ss-0386.es-0388.srt;tt0108160_scene_65.avi;64;S;['Activities'];4
42;tt0108160scene-067.ss-0395.es-0397;tt0108160-067;tt0108160;scene-067.ss-0395.es-0397.srt;tt0108160_scene_67.avi;66;EN_HN;['Activities', 'Exp of  emotion'];6
43;tt0108160scene-068.ss-0398.es-0402;tt0108160-068;tt0108160;scene-068.ss-0398.es-0402.srt;tt0108160_scene_68.avi;67;EN_HN;['Activities', 'Exp of  emotion'];7
44;tt0108160scene-069.ss-0403.es-0412;tt0108160-069;tt0108160;scene-069.ss-0403.es-0412.srt;tt0108160_scene_69.avi;68;EN_HN;['Activities', 'Exp of  emotion'];5
45;tt0108160scene-070.ss-0413.es-0414;tt0108160-070;tt0108160;scene-070.ss-0413.es-0414.srt;tt0108160_scene_70.avi;69;EN_HN;['Activities', 'Exp of  emotion'];6
46;tt0108160scene-071.ss-0415.es-0419;tt0108160-071;tt0108160;scene-071.ss-0415.es-0419.srt;tt0108160_scene_71.avi;70;EN_HN;[];3
47;tt0108160scene-072.ss-0420.es-0420;tt0108160-072;tt0108160;scene-072.ss-0420.es-0420.srt;tt0108160_scene_72.avi;71;EN_HN;[];2
49;tt0108160scene-077.ss-0438.es-0447;tt0108160-077;tt0108160;scene-077.ss-0438.es-0447.srt;tt0108160_scene_77.avi;76;S;['Type of plan', 'Posture', 'Look'];1
50;tt0108160scene-078.ss-0448.es-0460;tt0108160-078;tt0108160;scene-078.ss-0448.es-0460.srt;;-1;EN_HN;['Look'];8
51;tt0108160scene-079.ss-0461.es-0472;tt0108160-079;tt0108160;scene-079.ss-0461.es-0472.srt;tt0108160_scene_79.avi;78;EN_HN;['Look'];9
53;tt0108160scene-081.ss-0475.es-0488;tt0108160-081;tt0108160;scene-081.ss-0475.es-0488.srt;tt0108160_scene_81.avi;80;EN_HN;['Look'];1
54;tt0108160scene-082.ss-0489.es-0513;tt0108160-082;tt0108160;scene-082.ss-0489.es-0513.srt;tt0108160_scene_82.avi;81;EN_HN;['Look'];6
55;tt0108160scene-083.ss-0514.es-0514;tt0108160-083;tt0108160;scene-083.ss-0514.es-0514.srt;;-1;EN_HN;['Look'];1
56;tt0108160scene-087.ss-0534.es-0547;tt0108160-087;tt0108160;scene-087.ss-0534.es-0547.srt;tt0108160_scene_87.avi;86;S;['Exp of  emotion'];6
57;tt0108160scene-088.ss-0548.es-0555;tt0108160-088;tt0108160;scene-088.ss-0548.es-0555.srt;;87;S;['Exp of  emotion'];1
58;tt0108160scene-089.ss-0556.es-0566;tt0108160-089;tt0108160;scene-089.ss-0556.es-0566.srt;tt0108160_scene_89.avi;88;S;['Posture', 'Activities', 'Exp of  emotion'];5
59;tt0108160scene-090.ss-0567.es-0573;tt0108160-090;tt0108160;scene-090.ss-0567.es-0573.srt;tt0108160_scene_90.avi;89;EN_HN;['Exp of  emotion'];8
61;tt0108160scene-097.ss-0615.es-0619;tt0108160-097;tt0108160;scene-097.ss-0615.es-0619.srt;tt0108160_scene_97.avi;96;EN_HN;['Appearance'];5
