;clip;id;movie;srt_name;video_name;graph_number;label;reason;fold
0;tt0108160scene-001.ss-0001.es-0001;tt0108160-001;tt0108160;scene-001.ss-0001.es-0001.srt;tt0108160_scene_1.avi;0;Easy Neg;[];7
1;tt0108160scene-002.ss-0002.es-0002;tt0108160-002;tt0108160;scene-002.ss-0002.es-0002.srt;;-1;Easy Neg;[];0
3;tt0108160scene-004.ss-0007.es-0017;tt0108160-004;tt0108160;scene-004.ss-0007.es-0017.srt;tt0108160_scene_4.avi;3;Easy Neg;[];5
4;tt0108160scene-005.ss-0018.es-0018;tt0108160-005;tt0108160;scene-005.ss-0018.es-0018.srt;tt0108160_scene_5.avi;4;Easy Neg;[];1
9;tt0108160scene-011.ss-0053.es-0056;tt0108160-011;tt0108160;scene-011.ss-0053.es-0056.srt;tt0108160_scene_11.avi;10;Sure;['Appearance', 'Activities'];5
10;tt0108160scene-013.ss-0058.es-0061;tt0108160-013;tt0108160;scene-013.ss-0058.es-0061.srt;;-1;Easy Neg;[];8
11;tt0108160scene-020.ss-0113.es-0116;tt0108160-020;tt0108160;scene-020.ss-0113.es-0116.srt;tt0108160_scene_20.avi;19;Easy Neg;[];9
13;tt0108160scene-022.ss-0124.es-0125;tt0108160-022;tt0108160;scene-022.ss-0124.es-0125.srt;;-1;Easy Neg;[];4
14;tt0108160scene-023.ss-0126.es-0132;tt0108160-023;tt0108160;scene-023.ss-0126.es-0132.srt;tt0108160_scene_23.avi;22;Sure;['Type of plan', 'Clothes', 'Look', 'Exp of  emotion'];8
17;tt0108160scene-028.ss-0155.es-0160;tt0108160-028;tt0108160;scene-028.ss-0155.es-0160.srt;tt0108160_scene_28.avi;27;Easy Neg;[];9
18;tt0108160scene-029.ss-0161.es-0165;tt0108160-029;tt0108160;scene-029.ss-0161.es-0165.srt;;-1;Easy Neg;[];3
24;tt0108160scene-042.ss-0214.es-0214;tt0108160-042;tt0108160;scene-042.ss-0214.es-0214.srt;tt0108160_scene_42.avi;41;Sure;['Activities'];7
25;tt0108160scene-046.ss-0236.es-0249;tt0108160-046;tt0108160;scene-046.ss-0236.es-0249.srt;tt0108160_scene_46.avi;45;Easy Neg;[];3
26;tt0108160scene-048.ss-0262.es-0268;tt0108160-048;tt0108160;scene-048.ss-0262.es-0268.srt;tt0108160_scene_48.avi;47;Sure;['Exp of  emotion'];4
27;tt0108160scene-049.ss-0269.es-0274;tt0108160-049;tt0108160;scene-049.ss-0269.es-0274.srt;tt0108160_scene_49.avi;48;Sure;['Exp of  emotion'];9
28;tt0108160scene-050.ss-0275.es-0279;tt0108160-050;tt0108160;scene-050.ss-0275.es-0279.srt;tt0108160_scene_50.avi;49;Easy Neg;[];7
31;tt0108160scene-053.ss-0305.es-0306;tt0108160-053;tt0108160;scene-053.ss-0305.es-0306.srt;tt0108160_scene_53.avi;52;Easy Neg;[];0
32;tt0108160scene-054.ss-0307.es-0331;tt0108160-054;tt0108160;scene-054.ss-0307.es-0331.srt;tt0108160_scene_54.avi;53;Easy Neg;[];0
33;tt0108160scene-055.ss-0332.es-0332;tt0108160-055;tt0108160;scene-055.ss-0332.es-0332.srt;tt0108160_scene_55.avi;54;Easy Neg;[];0
34;tt0108160scene-056.ss-0333.es-0333;tt0108160-056;tt0108160;scene-056.ss-0333.es-0333.srt;tt0108160_scene_56.avi;-1;Easy Neg;[];0
35;tt0108160scene-057.ss-0334.es-0343;tt0108160-057;tt0108160;scene-057.ss-0334.es-0343.srt;tt0108160_scene_57.avi;56;Easy Neg;[];1
37;tt0108160scene-059.ss-0353.es-0356;tt0108160-059;tt0108160;scene-059.ss-0353.es-0356.srt;tt0108160_scene_59.avi;58;Sure;['Appearance', 'Activities', 'Look'];6
40;tt0108160scene-064.ss-0382.es-0385;tt0108160-064;tt0108160;scene-064.ss-0382.es-0385.srt;tt0108160_scene_64.avi;63;Sure;['Activities'];8
41;tt0108160scene-065.ss-0386.es-0388;tt0108160-065;tt0108160;scene-065.ss-0386.es-0388.srt;tt0108160_scene_65.avi;64;Sure;['Activities'];7
46;tt0108160scene-071.ss-0415.es-0419;tt0108160-071;tt0108160;scene-071.ss-0415.es-0419.srt;tt0108160_scene_71.avi;70;Easy Neg;[];0
47;tt0108160scene-072.ss-0420.es-0420;tt0108160-072;tt0108160;scene-072.ss-0420.es-0420.srt;tt0108160_scene_72.avi;71;Easy Neg;[];1
49;tt0108160scene-077.ss-0438.es-0447;tt0108160-077;tt0108160;scene-077.ss-0438.es-0447.srt;tt0108160_scene_77.avi;76;Sure;['Type of plan', 'Posture', 'Look'];5
56;tt0108160scene-087.ss-0534.es-0547;tt0108160-087;tt0108160;scene-087.ss-0534.es-0547.srt;tt0108160_scene_87.avi;86;Sure;['Exp of  emotion'];0
