;clip;id;movie;srt_name;video_name;graph_number;label;reason;fold
9;tt0108160scene-011.ss-0053.es-0056;tt0108160-011;tt0108160;scene-011.ss-0053.es-0056.srt;tt0108160_scene_11.avi;10;1;['Appearance', 'Activities'];0
12;tt0108160scene-021.ss-0117.es-0123;tt0108160-021;tt0108160;scene-021.ss-0117.es-0123.srt;tt0108160_scene_21.avi;20;0;['Exp of  emotion'];0
14;tt0108160scene-023.ss-0126.es-0132;tt0108160-023;tt0108160;scene-023.ss-0126.es-0132.srt;tt0108160_scene_23.avi;22;1;['Type of plan', 'Clothes', 'Look', 'Exp of  emotion'];0
16;tt0108160scene-027.ss-0151.es-0154;tt0108160-027;tt0108160;scene-027.ss-0151.es-0154.srt;tt0108160_scene_27.avi;26;0;['Clothes'];0
22;tt0108160scene-040.ss-0202.es-0206;tt0108160-040;tt0108160;scene-040.ss-0202.es-0206.srt;tt0108160_scene_40.avi;39;0;['Exp of  emotion'];0
23;tt0108160scene-041.ss-0207.es-0213;tt0108160-041;tt0108160;scene-041.ss-0207.es-0213.srt;tt0108160_scene_41.avi;40;0;['Exp of  emotion'];0
24;tt0108160scene-042.ss-0214.es-0214;tt0108160-042;tt0108160;scene-042.ss-0214.es-0214.srt;tt0108160_scene_42.avi;41;1;['Activities'];0
26;tt0108160scene-048.ss-0262.es-0268;tt0108160-048;tt0108160;scene-048.ss-0262.es-0268.srt;tt0108160_scene_48.avi;47;1;['Exp of  emotion'];0
27;tt0108160scene-049.ss-0269.es-0274;tt0108160-049;tt0108160;scene-049.ss-0269.es-0274.srt;tt0108160_scene_49.avi;48;1;['Exp of  emotion'];0
37;tt0108160scene-059.ss-0353.es-0356;tt0108160-059;tt0108160;scene-059.ss-0353.es-0356.srt;tt0108160_scene_59.avi;58;1;['Appearance', 'Activities', 'Look'];0
40;tt0108160scene-064.ss-0382.es-0385;tt0108160-064;tt0108160;scene-064.ss-0382.es-0385.srt;tt0108160_scene_64.avi;63;1;['Activities'];0
41;tt0108160scene-065.ss-0386.es-0388;tt0108160-065;tt0108160;scene-065.ss-0386.es-0388.srt;tt0108160_scene_65.avi;64;1;['Activities'];0
42;tt0108160scene-067.ss-0395.es-0397;tt0108160-067;tt0108160;scene-067.ss-0395.es-0397.srt;tt0108160_scene_67.avi;66;0;['Activities', 'Exp of  emotion'];0
43;tt0108160scene-068.ss-0398.es-0402;tt0108160-068;tt0108160;scene-068.ss-0398.es-0402.srt;tt0108160_scene_68.avi;67;0;['Activities', 'Exp of  emotion'];0
44;tt0108160scene-069.ss-0403.es-0412;tt0108160-069;tt0108160;scene-069.ss-0403.es-0412.srt;tt0108160_scene_69.avi;68;0;['Activities', 'Exp of  emotion'];0
45;tt0108160scene-070.ss-0413.es-0414;tt0108160-070;tt0108160;scene-070.ss-0413.es-0414.srt;tt0108160_scene_70.avi;69;0;['Activities', 'Exp of  emotion'];0
49;tt0108160scene-077.ss-0438.es-0447;tt0108160-077;tt0108160;scene-077.ss-0438.es-0447.srt;tt0108160_scene_77.avi;76;1;['Type of plan', 'Posture', 'Look'];0
51;tt0108160scene-079.ss-0461.es-0472;tt0108160-079;tt0108160;scene-079.ss-0461.es-0472.srt;tt0108160_scene_79.avi;78;0;['Look'];0
53;tt0108160scene-081.ss-0475.es-0488;tt0108160-081;tt0108160;scene-081.ss-0475.es-0488.srt;tt0108160_scene_81.avi;80;0;['Look'];0
54;tt0108160scene-082.ss-0489.es-0513;tt0108160-082;tt0108160;scene-082.ss-0489.es-0513.srt;tt0108160_scene_82.avi;81;0;['Look'];0
56;tt0108160scene-087.ss-0534.es-0547;tt0108160-087;tt0108160;scene-087.ss-0534.es-0547.srt;tt0108160_scene_87.avi;86;1;['Exp of  emotion'];0
58;tt0108160scene-089.ss-0556.es-0566;tt0108160-089;tt0108160;scene-089.ss-0556.es-0566.srt;tt0108160_scene_89.avi;88;1;['Posture', 'Activities', 'Exp of  emotion'];0
59;tt0108160scene-090.ss-0567.es-0573;tt0108160-090;tt0108160;scene-090.ss-0567.es-0573.srt;tt0108160_scene_90.avi;89;0;['Exp of  emotion'];0
61;tt0108160scene-097.ss-0615.es-0619;tt0108160-097;tt0108160;scene-097.ss-0615.es-0619.srt;tt0108160_scene_97.avi;96;0;['Appearance'];0
62;tt0108160scene-098.ss-0620.es-0631;tt0108160-098;tt0108160;scene-098.ss-0620.es-0631.srt;tt0108160_scene_98.avi;97;0;['Appearance'];0
63;tt0108160scene-099.ss-0632.es-0633;tt0108160-099;tt0108160;scene-099.ss-0632.es-0633.srt;tt0108160_scene_99.avi;98;1;['Type of plan', 'Body', 'Activities'];0
67;tt0108160scene-105.ss-0655.es-0673;tt0108160-105;tt0108160;scene-105.ss-0655.es-0673.srt;tt0108160_scene_105.avi;104;0;['Exp of  emotion'];0
84;tt0110912scene-032.ss-0267.es-0267;tt0110912-032;tt0110912;scene-032.ss-0267.es-0267.srt;tt0110912_scene_32.mkv;31;1;['Appearance', 'Clothes', 'Look'];1
85;tt0110912scene-033.ss-0268.es-0273;tt0110912-033;tt0110912;scene-033.ss-0268.es-0273.srt;tt0110912_scene_33.mkv;32;1;['Appearance', 'Clothes', 'Look'];1
87;tt0110912scene-035.ss-0288.es-0294;tt0110912-035;tt0110912;scene-035.ss-0288.es-0294.srt;tt0110912_scene_35.mkv;34;0;['Look'];1
88;tt0110912scene-037.ss-0314.es-0324;tt0110912-037;tt0110912;scene-037.ss-0314.es-0324.srt;tt0110912_scene_37.mkv;36;0;['Posture'];1
89;tt0110912scene-038.ss-0325.es-0337;tt0110912-038;tt0110912;scene-038.ss-0325.es-0337.srt;tt0110912_scene_38.mkv;37;0;['Look'];1
90;tt0110912scene-039.ss-0338.es-0352;tt0110912-039;tt0110912;scene-039.ss-0338.es-0352.srt;tt0110912_scene_39.mkv;38;0;['Look'];1
93;tt0110912scene-042.ss-0360.es-0370;tt0110912-042;tt0110912;scene-042.ss-0360.es-0370.srt;tt0110912_scene_42.mkv;41;0;['Clothes', 'Posture'];1
94;tt0110912scene-043.ss-0371.es-0405;tt0110912-043;tt0110912;scene-043.ss-0371.es-0405.srt;tt0110912_scene_43.mkv;42;0;['Look'];1
95;tt0110912scene-044.ss-0406.es-0415;tt0110912-044;tt0110912;scene-044.ss-0406.es-0415.srt;tt0110912_scene_44.mkv;43;1;['Appearance', 'Clothes', 'Posture', 'Activities'];1
98;tt0110912scene-047.ss-0426.es-0436;tt0110912-047;tt0110912;scene-047.ss-0426.es-0436.srt;tt0110912_scene_47.mkv;46;0;['Clothes', 'Posture', 'Activities'];1
99;tt0110912scene-048.ss-0437.es-0438;tt0110912-048;tt0110912;scene-048.ss-0437.es-0438.srt;tt0110912_scene_48.mp4;-1;0;['Clothes', 'Posture', 'Activities'];1
112;tt0110912scene-065.ss-0567.es-0572;tt0110912-065;tt0110912;scene-065.ss-0567.es-0572.srt;tt0110912_scene_65.mkv;64;0;['Posture'];1
116;tt0110912scene-069.ss-0603.es-0605;tt0110912-069;tt0110912;scene-069.ss-0603.es-0605.srt;tt0110912_scene_69.mkv;68;1;['Body', 'Clothes', 'Posture', 'Exp of  emotion'];1
117;tt0110912scene-070.ss-0606.es-0626;tt0110912-070;tt0110912;scene-070.ss-0606.es-0626.srt;tt0110912_scene_70.mkv;69;1;['Body', 'Clothes', 'Posture', 'Exp of  emotion'];1
118;tt0110912scene-071.ss-0627.es-0637;tt0110912-071;tt0110912;scene-071.ss-0627.es-0637.srt;tt0110912_scene_71.mkv;70;1;['Body', 'Clothes', 'Posture', 'Exp of  emotion'];1
119;tt0110912scene-072.ss-0638.es-0639;tt0110912-072;tt0110912;scene-072.ss-0638.es-0639.srt;tt0110912_scene_72.mp4;-1;1;['Body', 'Clothes', 'Posture', 'Exp of  emotion'];1
126;tt0110912scene-079.ss-0694.es-0698;tt0110912-079;tt0110912;scene-079.ss-0694.es-0698.srt;tt0110912_scene_79.mkv;78;0;['Posture'];1
127;tt0110912scene-080.ss-0699.es-0713;tt0110912-080;tt0110912;scene-080.ss-0699.es-0713.srt;tt0110912_scene_80.mkv;79;0;['Activities', 'Exp of  emotion'];1
130;tt0110912scene-083.ss-0742.es-0748;tt0110912-083;tt0110912;scene-083.ss-0742.es-0748.srt;tt0110912_scene_83.mkv;82;1;['Body', 'Clothes', 'Activities'];1
131;tt0110912scene-084.ss-0749.es-0753;tt0110912-084;tt0110912;scene-084.ss-0749.es-0753.srt;tt0110912_scene_84.mkv;83;1;['Body', 'Clothes', 'Activities'];1
132;tt0110912scene-085.ss-0754.es-0761;tt0110912-085;tt0110912;scene-085.ss-0754.es-0761.srt;tt0110912_scene_85.mkv;84;1;['Body', 'Clothes', 'Activities'];1
133;tt0110912scene-086.ss-0762.es-0785;tt0110912-086;tt0110912;scene-086.ss-0762.es-0785.srt;tt0110912_scene_86.mkv;85;1;['Body', 'Clothes', 'Activities'];1
134;tt0110912scene-087.ss-0786.es-0802;tt0110912-087;tt0110912;scene-087.ss-0786.es-0802.srt;tt0110912_scene_87.mkv;86;1;['Body', 'Clothes', 'Activities'];1
136;tt0110912scene-089.ss-0810.es-0827;tt0110912-089;tt0110912;scene-089.ss-0810.es-0827.srt;tt0110912_scene_89.mkv;88;1;['Body', 'Posture'];1
137;tt0110912scene-090.ss-0828.es-0839;tt0110912-090;tt0110912;scene-090.ss-0828.es-0839.srt;tt0110912_scene_90.mkv;89;0;['Posture'];1
138;tt0110912scene-091.ss-0840.es-0847;tt0110912-091;tt0110912;scene-091.ss-0840.es-0847.srt;tt0110912_scene_91.mp4;-1;0;['Posture'];1
152;tt0110912scene-110.ss-0989.es-1011;tt0110912-110;tt0110912;scene-110.ss-0989.es-1011.srt;tt0110912_scene_110.mkv;109;0;['Body', 'Posture', 'Activities'];1
171;tt0110912scene-132.ss-1197.es-1198;tt0110912-132;tt0110912;scene-132.ss-1197.es-1198.srt;tt0110912_scene_132.mkv;131;0;['Look'];1
193;tt0119822scene-023.ss-0149.es-0152;tt0119822-023;tt0119822;scene-023.ss-0149.es-0152.srt;tt0119822_scene_23.avi;22;0;['Type of plan', 'Posture'];2
194;tt0119822scene-024.ss-0153.es-0155;tt0119822-024;tt0119822;scene-024.ss-0153.es-0155.srt;tt0119822_scene_24.avi;23;0;['Posture', 'Activities'];2
199;tt0119822scene-031.ss-0171.es-0174;tt0119822-031;tt0119822;scene-031.ss-0171.es-0174.srt;tt0119822_scene_31.avi;30;1;['Look', 'Exp of  emotion'];2
200;tt0119822scene-032.ss-0175.es-0183;tt0119822-032;tt0119822;scene-032.ss-0175.es-0183.srt;tt0119822_scene_32.avi;31;1;['Look', 'Exp of  emotion'];2
201;tt0119822scene-033.ss-0183.es-0189;tt0119822-033;tt0119822;scene-033.ss-0183.es-0189.srt;tt0119822_scene_33.avi;32;1;['Look', 'Exp of  emotion'];2
202;tt0119822scene-034.ss-0190.es-0194;tt0119822-034;tt0119822;scene-034.ss-0190.es-0194.srt;tt0119822_scene_34.avi;33;1;['Look', 'Exp of  emotion'];2
203;tt0119822scene-035.ss-0195.es-0204;tt0119822-035;tt0119822;scene-035.ss-0195.es-0204.srt;tt0119822_scene_35.avi;34;1;['Look', 'Exp of  emotion'];2
204;tt0119822scene-036.ss-0205.es-0212;tt0119822-036;tt0119822;scene-036.ss-0205.es-0212.srt;tt0119822_scene_36.avi;35;1;['Type of plan', 'Body', 'Posture', 'Activities', 'Look'];2
205;tt0119822scene-037.ss-0213.es-0215;tt0119822-037;tt0119822;scene-037.ss-0213.es-0215.srt;tt0119822_scene_37.avi;36;1;['Activities', 'Exp of  emotion'];2
206;tt0119822scene-038.ss-0216.es-0220;tt0119822-038;tt0119822;scene-038.ss-0216.es-0220.srt;tt0119822_scene_38.avi;37;1;['Activities', 'Exp of  emotion'];2
207;tt0119822scene-039.ss-0221.es-0230;tt0119822-039;tt0119822;scene-039.ss-0221.es-0230.srt;tt0119822_scene_39.avi;38;1;['Activities', 'Exp of  emotion'];2
208;tt0119822scene-040.ss-0231.es-0233;tt0119822-040;tt0119822;scene-040.ss-0231.es-0233.srt;tt0119822_scene_40.avi;39;1;['Activities', 'Exp of  emotion'];2
209;tt0119822scene-041.ss-0234.es-0239;tt0119822-041;tt0119822;scene-041.ss-0234.es-0239.srt;tt0119822_scene_41.avi;40;1;['Activities', 'Exp of  emotion'];2
210;tt0119822scene-042.ss-0240.es-0241;tt0119822-042;tt0119822;scene-042.ss-0240.es-0241.srt;tt0119822_scene_42.mp4;41;0;['Body'];2
212;tt0119822scene-044.ss-0250.es-0253;tt0119822-044;tt0119822;scene-044.ss-0250.es-0253.srt;tt0119822_scene_44.avi;43;1;['Type of plan', 'Body', 'Appearance', 'Clothes', 'Posture'];2
213;tt0119822scene-045.ss-0253.es-0266;tt0119822-045;tt0119822;scene-045.ss-0253.es-0266.srt;tt0119822_scene_45.avi;44;1;['Type of plan', 'Body', 'Posture'];2
214;tt0119822scene-046.ss-0267.es-0277;tt0119822-046;tt0119822;scene-046.ss-0267.es-0277.srt;tt0119822_scene_46.avi;45;0;['Posture'];2
215;tt0119822scene-047.ss-0278.es-0278;tt0119822-047;tt0119822;scene-047.ss-0278.es-0278.srt;tt0119822_scene_47.mp4;46;0;['Posture'];2
233;tt0119822scene-065.ss-0418.es-0419;tt0119822-065;tt0119822;scene-065.ss-0418.es-0419.srt;tt0119822_scene_65.avi;64;0;['Activities'];2
251;tt0119822scene-083.ss-0584.es-0597;tt0119822-083;tt0119822;scene-083.ss-0584.es-0597.srt;tt0119822_scene_83.avi;82;1;['Body', 'Exp of  emotion'];2
252;tt0119822scene-084.ss-0598.es-0611;tt0119822-084;tt0119822;scene-084.ss-0598.es-0611.srt;tt0119822_scene_84.avi;83;0;['Look'];2
253;tt0119822scene-085.ss-0612.es-0615;tt0119822-085;tt0119822;scene-085.ss-0612.es-0615.srt;tt0119822_scene_85.avi;84;0;['Look'];2
254;tt0119822scene-086.ss-0616.es-0621;tt0119822-086;tt0119822;scene-086.ss-0616.es-0621.srt;tt0119822_scene_86.mp4;85;0;['Look'];2
261;tt0119822scene-095.ss-0724.es-0736;tt0119822-095;tt0119822;scene-095.ss-0724.es-0736.srt;tt0119822_scene_95.avi;94;1;['Posture', 'Look', 'Exp of  emotion'];2
271;tt0119822scene-105.ss-0797.es-0812;tt0119822-105;tt0119822;scene-105.ss-0797.es-0812.srt;tt0119822_scene_105.avi;104;1;['Exp of  emotion'];2
275;tt0119822scene-109.ss-0827.es-0837;tt0119822-109;tt0119822;scene-109.ss-0827.es-0837.srt;tt0119822_scene_109.avi;108;1;['Exp of  emotion'];2
278;tt0119822scene-112.ss-0881.es-0890;tt0119822-112;tt0119822;scene-112.ss-0881.es-0890.srt;tt0119822_scene_112.mp4;-1;1;['Type of plan', 'Body', 'Appearance', 'Clothes', 'Posture'];2
279;tt0119822scene-113.ss-0891.es-0943;tt0119822-113;tt0119822;scene-113.ss-0891.es-0943.srt;tt0119822_scene_113.avi;112;1;['Clothes', 'Posture', 'Exp of  emotion'];2
282;tt0119822scene-116.ss-0959.es-0967;tt0119822-116;tt0119822;scene-116.ss-0959.es-0967.srt;tt0119822_scene_116.avi;115;0;['Body'];2
283;tt0119822scene-117.ss-0968.es-0977;tt0119822-117;tt0119822;scene-117.ss-0968.es-0977.srt;tt0119822_scene_117.avi;116;0;['Body'];2
284;tt0119822scene-118.ss-0978.es-1002;tt0119822-118;tt0119822;scene-118.ss-0978.es-1002.srt;tt0119822_scene_118.avi;117;0;['Exp of  emotion'];2
289;tt0119822scene-125.ss-1055.es-1089;tt0119822-125;tt0119822;scene-125.ss-1055.es-1089.srt;tt0119822_scene_125.avi;124;1;['Look', 'Exp of  emotion'];2
291;tt0119822scene-129.ss-1121.es-1137;tt0119822-129;tt0119822;scene-129.ss-1121.es-1137.srt;tt0119822_scene_129.avi;128;0;['Exp of  emotion'];2
292;tt0119822scene-130.ss-1138.es-1140;tt0119822-130;tt0119822;scene-130.ss-1138.es-1140.srt;tt0119822_scene_130.avi;129;0;['Exp of  emotion'];2
301;tt0119822scene-143.ss-1267.es-1276;tt0119822-143;tt0119822;scene-143.ss-1267.es-1276.srt;tt0119822_scene_143.avi;142;0;['Activities', 'Look', 'Exp of  emotion'];2
302;tt0119822scene-144.ss-1277.es-1283;tt0119822-144;tt0119822;scene-144.ss-1277.es-1283.srt;tt0119822_scene_144.avi;143;0;['Clothes'];2
303;tt0119822scene-145.ss-1284.es-1304;tt0119822-145;tt0119822;scene-145.ss-1284.es-1304.srt;tt0119822_scene_145.avi;144;0;['Activities'];2
307;tt0119822scene-149.ss-1315.es-1321;tt0119822-149;tt0119822;scene-149.ss-1315.es-1321.srt;tt0119822_scene_149.avi;148;1;['Type of plan', 'Look'];2
308;tt0119822scene-150.ss-1322.es-1329;tt0119822-150;tt0119822;scene-150.ss-1322.es-1329.srt;tt0119822_scene_150.avi;149;0;['Body', 'Look'];2
309;tt0119822scene-151.ss-1330.es-1346;tt0119822-151;tt0119822;scene-151.ss-1330.es-1346.srt;tt0119822_scene_151.avi;150;0;['Clothes', 'Look'];2
311;tt0119822scene-153.ss-1367.es-1373;tt0119822-153;tt0119822;scene-153.ss-1367.es-1373.srt;tt0119822_scene_153.avi;152;0;['Look'];2
312;tt0119822scene-154.ss-1373.es-1389;tt0119822-154;tt0119822;scene-154.ss-1373.es-1389.srt;tt0119822_scene_154.avi;153;0;['Look'];2
318;tt0119822scene-162.ss-1461.es-1481;tt0119822-162;tt0119822;scene-162.ss-1461.es-1481.srt;tt0119822_scene_162.avi;161;1;['Type of plan', 'Body', 'Clothes', 'Look'];2
319;tt0119822scene-164.ss-1486.es-1494;tt0119822-164;tt0119822;scene-164.ss-1486.es-1494.srt;tt0119822_scene_164.avi;163;1;['Type of plan', 'Body', 'Clothes', 'Posture', 'Activities'];2
320;tt0119822scene-165.ss-1495.es-1510;tt0119822-165;tt0119822;scene-165.ss-1495.es-1510.srt;tt0119822_scene_165.avi;164;0;['Appearance'];2
334;tt0119822scene-182.ss-1665.es-1673;tt0119822-182;tt0119822;scene-182.ss-1665.es-1673.srt;tt0119822_scene_182.avi;181;1;['Type of plan', 'Appearance', 'Clothes', 'Posture'];2
