idx;util;clip;label;overlap_ratio;concepts;id;movie;srt_name;video_name;graph_number
;;;;;;;;;;
0;1;tt0108160scene-001.ss-0001.es-0001;Easy Neg;1.00;[''];tt0108160-001;tt0108160;scene-001.ss-0001.es-0001.srt;tt0108160_scene_1.avi;0
1;0;tt0108160scene-002.ss-0002.es-0002;Easy Neg;1.00;[''];tt0108160-002;tt0108160;scene-002.ss-0002.es-0002.srt;;-1
2;1;tt0108160scene-003.ss-0003.es-0006;Not Sure;1.00;['Activities'];tt0108160-003;tt0108160;scene-003.ss-0003.es-0006.srt;tt0108160_scene_3.avi;2
3;1;tt0108160scene-004.ss-0007.es-0017;Easy Neg;0.85;[''];tt0108160-004;tt0108160;scene-004.ss-0007.es-0017.srt;tt0108160_scene_4.avi;3
4;1;tt0108160scene-005.ss-0018.es-0018;Easy Neg;0.85;[''];tt0108160-005;tt0108160;scene-005.ss-0018.es-0018.srt;tt0108160_scene_5.avi;4
5;1;tt0108160scene-006.ss-0019.es-0026;Hard Neg;1.00;['Speech'];tt0108160-006;tt0108160;scene-006.ss-0019.es-0026.srt;tt0108160_scene_6.avi;5
6;1;tt0108160scene-007.ss-0027.es-0028;Not Sure;0.96;['Voice', ' Activities'];tt0108160-007;tt0108160;scene-007.ss-0027.es-0028.srt;tt0108160_scene_7.avi;6
7;1;tt0108160scene-008.ss-0029.es-0038;Not Sure;1.00;['Voice', ' Activities'];tt0108160-008;tt0108160;scene-008.ss-0029.es-0038.srt;tt0108160_scene_8.avi;7
8;1;tt0108160scene-009.ss-0039.es-0048;Not Sure;1.00;['Voice', ' Activities'];tt0108160-009;tt0108160;scene-009.ss-0039.es-0048.srt;tt0108160_scene_9.avi;8
9;1;tt0108160scene-010.ss-0049.es-0052;Not Sure;1.00;['Voice', ' Activities'];tt0108160-010;tt0108160;scene-010.ss-0049.es-0052.srt;tt0108160_scene_10.avi;9
10;1;tt0108160scene-011.ss-0053.es-0056;Sure;0.20;['Appearance', ' Speech', ' Activities'];tt0108160-011;tt0108160;scene-011.ss-0053.es-0056.srt;tt0108160_scene_11.avi;10
11;1;tt0108160scene-012.ss-0057.es-0057;Hard Neg;0.99;['Voice'];tt0108160-012;tt0108160;scene-012.ss-0057.es-0057.srt;tt0108160_scene_12.avi;11
12;0;tt0108160scene-013.ss-0058.es-0061;Easy Neg;1.00;[''];tt0108160-013;tt0108160;scene-013.ss-0058.es-0061.srt;;-1
13;1;tt0108160scene-014.ss-0062.es-0068;Not Sure;0.59;['Speech'];tt0108160-014;tt0108160;scene-014.ss-0062.es-0068.srt;tt0108160_scene_14.avi;-1
14;1;tt0108160scene-015.ss-0069.es-0085;Not Sure;0.45;['Speech'];tt0108160-015;tt0108160;scene-015.ss-0069.es-0085.srt;tt0108160_scene_15.avi;14
15;1;tt0108160scene-016.ss-0086.es-0093;Hard Neg;1.00;['Speech'];tt0108160-016;tt0108160;scene-016.ss-0086.es-0093.srt;tt0108160_scene_16.avi;-1
16;1;tt0108160scene-017.ss-0094.es-0102;Hard Neg;0.88;['Speech'];tt0108160-017;tt0108160;scene-017.ss-0094.es-0102.srt;tt0108160_scene_17.avi;16
17;1;tt0108160scene-018.ss-0103.es-0105;Hard Neg;1.00;['Speech'];tt0108160-018;tt0108160;scene-018.ss-0103.es-0105.srt;;17
18;1;tt0108160scene-019.ss-0106.es-0112;Hard Neg;1.00;['Speech'];tt0108160-019;tt0108160;scene-019.ss-0106.es-0112.srt;tt0108160_scene_19.avi;18
19;1;tt0108160scene-020.ss-0113.es-0116;Easy Neg;1.00;[''];tt0108160-020;tt0108160;scene-020.ss-0113.es-0116.srt;tt0108160_scene_20.avi;19
20;1;tt0108160scene-021.ss-0117.es-0123;Hard Neg;1.00;['Speech', ' Exp of  emotion', ' Soundtrack'];tt0108160-021;tt0108160;scene-021.ss-0117.es-0123.srt;tt0108160_scene_21.avi;20
21;0;tt0108160scene-022.ss-0124.es-0125;Easy Neg;0.99;[''];tt0108160-022;tt0108160;scene-022.ss-0124.es-0125.srt;;-1
22;1;tt0108160scene-023.ss-0126.es-0132;Sure;0.42;['Type of plan', ' Voice', ' Clothes', ' Speech', ' Look', ' Exp of  emotion'];tt0108160-023;tt0108160;scene-023.ss-0126.es-0132.srt;tt0108160_scene_23.avi;22
23;1;tt0108160scene-024.ss-0133.es-0140;Sure;0.64;['Voice', ' Speech'];tt0108160-024;tt0108160;scene-024.ss-0133.es-0140.srt;tt0108160_scene_24.avi;23
24;1;tt0108160scene-025.ss-0141.es-0141;Hard Neg;0.81;['Speech'];tt0108160-025;tt0108160;scene-025.ss-0141.es-0141.srt;tt0108160_scene_25.avi;24
25;1;tt0108160scene-026.ss-0142.es-0150;Not Sure;1.00;['Voice', ' Speech', ' Exp of  emotion'];tt0108160-026;tt0108160;scene-026.ss-0142.es-0150.srt;tt0108160_scene_26.avi;25
26;1;tt0108160scene-027.ss-0151.es-0154;Hard Neg;0.98;['Clothes'];tt0108160-027;tt0108160;scene-027.ss-0151.es-0154.srt;tt0108160_scene_27.avi;26
27;1;tt0108160scene-028.ss-0155.es-0160;Easy Neg;0.95;[''];tt0108160-028;tt0108160;scene-028.ss-0155.es-0160.srt;tt0108160_scene_28.avi;27
28;0;tt0108160scene-029.ss-0161.es-0165;Easy Neg;1.00;[''];tt0108160-029;tt0108160;scene-029.ss-0161.es-0165.srt;;-1
29;1;tt0108160scene-030.ss-0166.es-0173;Not Sure;0.64;['Type of plan'];tt0108160-030;tt0108160;scene-030.ss-0166.es-0173.srt;tt0108160_scene_30.avi;29
30;1;tt0108160scene-031.ss-0174.es-0174;Hard Neg;1.00;['Speech'];tt0108160-031;tt0108160;scene-031.ss-0174.es-0174.srt;tt0108160_scene_31.avi;30
31;1;tt0108160scene-032.ss-0175.es-0179;Hard Neg;1.00;['Speech'];tt0108160-032;tt0108160;scene-032.ss-0175.es-0179.srt;tt0108160_scene_32.avi;31
32;1;tt0108160scene-033.ss-0180.es-0181;Hard Neg;0.92;['Speech'];tt0108160-033;tt0108160;scene-033.ss-0180.es-0181.srt;tt0108160_scene_33.avi;32
33;1;tt0108160scene-034.ss-0182.es-0191;Hard Neg;1.00;['Speech'];tt0108160-034;tt0108160;scene-034.ss-0182.es-0191.srt;tt0108160_scene_34.avi;33
34;1;tt0108160scene-035.ss-0192.es-0195;Hard Neg;1.00;['Speech'];tt0108160-035;tt0108160;scene-035.ss-0192.es-0195.srt;tt0108160_scene_35.avi;34
35;1;tt0108160scene-036.ss-0196.es-0196;Not Sure;0.86;['Speech'];tt0108160-036;tt0108160;scene-036.ss-0196.es-0196.srt;tt0108160_scene_36.avi;35
36;1;tt0108160scene-037.ss-0197.es-0197;Hard Neg;1.00;['Speech'];tt0108160-037;tt0108160;scene-037.ss-0197.es-0197.srt;;36
37;1;tt0108160scene-038.ss-0198.es-0199;Not Sure;0.45;['Voice', ' Speech', ' Exp of  emotion'];tt0108160-038;tt0108160;scene-038.ss-0198.es-0199.srt;tt0108160_scene_38.avi;37
38;0;tt0108160scene-039.ss-0200.es-0201;Hard Neg;1.00;['Speech', ' Exp of  emotion'];tt0108160-039;tt0108160;scene-039.ss-0200.es-0201.srt;;-1
39;1;tt0108160scene-040.ss-0202.es-0206;Hard Neg;1.00;['Speech', ' Exp of  emotion'];tt0108160-040;tt0108160;scene-040.ss-0202.es-0206.srt;tt0108160_scene_40.avi;39
40;1;tt0108160scene-041.ss-0207.es-0213;Hard Neg;1.00;['Speech', ' Exp of  emotion'];tt0108160-041;tt0108160;scene-041.ss-0207.es-0213.srt;tt0108160_scene_41.avi;40
41;1;tt0108160scene-042.ss-0214.es-0214;Sure;0.92;['Speech', ' Activities'];tt0108160-042;tt0108160;scene-042.ss-0214.es-0214.srt;tt0108160_scene_42.avi;41
42;1;tt0108160scene-043.ss-0215.es-0224;Hard Neg;1.00;['Speech'];tt0108160-043;tt0108160;scene-043.ss-0215.es-0224.srt;tt0108160_scene_43.avi;42
43;1;tt0108160scene-044.ss-0225.es-0234;Hard Neg;0.99;['Speech'];tt0108160-044;tt0108160;scene-044.ss-0225.es-0234.srt;tt0108160_scene_44.avi;43
44;0;tt0108160scene-045.ss-0235.es-0235;Hard Neg;0.72;['Speech'];tt0108160-045;tt0108160;scene-045.ss-0235.es-0235.srt;;-1
45;1;tt0108160scene-046.ss-0236.es-0249;Easy Neg;1.00;[''];tt0108160-046;tt0108160;scene-046.ss-0236.es-0249.srt;tt0108160_scene_46.avi;45
46;1;tt0108160scene-047.ss-0250.es-0261;Not Sure;0.62;['Speech'];tt0108160-047;tt0108160;scene-047.ss-0250.es-0261.srt;tt0108160_scene_47.avi;46
